,Unnamed: 0,open,high,low,close,volume,year,month,day,hour,mins,ema_21,ma10,ma20,ma50,close1p_lead,close2p_lead,close3p_lead,close4p_lead,close5p_lead,close6p_lead,close7p_lead,close8p_lead,close16p_lead,daily_open,yesterday_open,yesterday_close,yesterday_low,yesterday_high,open_for_the_day,close_for_the_day,hour_ma10,hour_ma20,hour_ma50,spy_open,spy_high,spy_low,spy_close,spy_volume,spy_ema_21,spy_ma10,spy_ma20,spy_ma50,spy_close1p_lead,spy_close2p_lead,spy_close3p_lead,spy_close4p_lead,spy_close5p_lead,spy_close6p_lead,spy_close7p_lead,spy_close8p_lead,spy_close16p_lead,spy_daily_open,spy_yesterday_open,spy_yesterday_close,spy_yesterday_low,spy_yesterday_high,spy_open_for_the_day,spy_close_for_the_day,spy_hour_ma10,spy_hour_ma20,spy_hour_ma50
Unnamed: 0,1.0,-0.025378634137191807,-0.025270612490543416,-0.025536954523038724,-0.025414065302372824,0.024524109755176406,0.8329986262261816,0.011389427115074863,-0.022692837017763975,,,-0.057297321904287275,-0.04089517858667338,-0.05524308608972316,-0.05708965937470393,0.020770588860914832,0.041590493793756456,0.06992741444855527,0.020367513941812534,0.0072246401121013794,0.03790468910840992,0.03895027170458277,0.026115940967851525,-0.013286877986761942,-0.03248857986786787,-0.04428901910356742,-0.046410766166265556,0.008364309325597043,-0.09951700504007953,-0.03248857986786787,0.030375045048413006,-0.05231660207873811,-0.06254806752888473,-0.08841425743736694,0.11520062672433895,0.12060475177264979,0.10864897863895821,0.11415646347265748,0.3554897103089065,-0.11919320325737175,-0.07315328369321393,-0.11375740674793623,-0.13195851960611826,0.03473509854246088,0.09598682523832049,0.12514063840360445,0.028480246569896242,-0.0084923244063898,0.04889471375845775,0.05044762128614047,0.029338649491754545,-0.043609350957899876,-0.0898785733949648,-0.1241094202949509,-0.1315059418430535,0.0508058100524679,-0.2899620526159357,-0.0898785733949648,0.03563811609690301,-0.12139801259592534,-0.1524535876713208,-0.22410621952575885
open,-0.025378634137191807,1.0,0.9999973499043063,0.9999971993333279,0.9999947815493709,-0.03283153508163757,-0.028276630606481213,0.018216348941357034,0.0012077574015505754,,,0.007794258276610119,0.0032638543400991715,0.005896137604988587,0.010066534587945715,-0.004864822806025495,-0.0007053627285654015,-0.004023801284776437,-0.0015410638034835742,-0.000836067566617291,-0.002414624640279353,0.0007916312632737472,-0.0005718120447460788,-0.021303484868861543,0.002623107534233815,0.007534550106639439,0.005160249525362415,-0.001954668207237576,0.017124445844485404,0.002623107534233815,0.001201195463515037,0.007988936433578337,0.011379641567940899,0.019248969047724836,0.03578024052029588,0.0356081149747735,0.035981546988682764,0.035804766805137986,-0.011580329670585941,0.006398656341571742,0.0015669568714457105,0.005743382561142875,0.008574205008051517,-0.004316782908554212,-0.004420724416155157,-0.00461582509397826,-0.0016811315858682168,-0.002298968393715861,-0.004788532250667859,-0.0023966138086872753,-0.002296589693113958,0.0006420320622402268,0.0033271707134327087,0.007759771687656943,0.007568523355159601,-0.001682015087261442,0.01659529568955077,0.0033271707134327087,-0.003069810936400087,0.007262475152650761,0.009843819134482467,0.014784020495579283
high,-0.025270612490543416,0.9999973499043063,1.0,0.99999569022835,0.9999974959240692,-0.03267221501551411,-0.028120066317909632,0.018106874901017773,0.0011248626549077625,,,0.007919080591547454,0.0036369356836757263,0.0060093812984487556,0.010058186551190052,-0.004810126146446954,-0.0006514792652378641,-0.003989545986518079,-0.0015097122021624175,-0.0008231221819284358,-0.0024063874405630364,0.0007745618707068666,-0.0006007224642378003,-0.021373387092979142,0.002674058723289068,0.007490852235899971,0.005180956383682388,-0.001851434586497241,0.016995758303110495,0.002674058723289068,0.0011598568085634097,0.008033625398731314,0.011338457675208984,0.019135781730718063,0.035667471899903914,0.03550576050144663,0.03587113246360028,0.03570356234023006,-0.01133312045783044,0.006490924651845099,0.0018470473050567814,0.005829336651611684,0.00853618692602091,-0.00424490264180805,-0.004361334056865852,-0.004574338157658132,-0.0016422958960311787,-0.002291032260012238,-0.0047907233974578845,-0.002444401605013785,-0.0023566522910633157,0.0005918399087513961,0.0033406141031795218,0.00767838408449636,0.0075697535725229295,-0.0016334469553645026,0.016474067437242307,0.0033406141031795218,-0.0031472900399209416,0.0072828535722725294,0.00977088311363074,0.014636397025241988
low,-0.025536954523038724,0.9999971993333279,0.99999569022835,1.0,0.9999972305588686,-0.03305497521366882,-0.028501564961958423,0.01839000244936548,0.0011335373311784872,,,0.00810023129272782,0.0037131936011870056,0.006171551403634333,0.010259295488756974,-0.0048472156798831136,-0.0006772537490914585,-0.004005468759758688,-0.0015284043057959135,-0.0008254971953958107,-0.0024102076353969878,0.0007790655520420469,-0.0005761452100598751,-0.021340177482603303,0.002787267373123309,0.007671609836027261,0.005299778518945186,-0.0019457342053555583,0.017375889682248877,0.002787267373123309,0.0011243858333079267,0.008205635768253183,0.011557840060689713,0.01941945948105861,0.035875256158195146,0.03570532589982406,0.03608822175127086,0.03591166986327463,-0.011816098651956384,0.006671311175290713,0.001849417742847117,0.00599346383347778,0.008786464393045349,-0.0043404203424528,-0.004389065125198705,-0.004576099769376562,-0.0016521940066705082,-0.0022531155297644077,-0.004751252097488882,-0.002386292984012288,-0.0022719986616975625,0.0005860489862454833,0.003477466270438625,0.007945211416991742,0.007769916792139541,-0.0015667661769570552,0.016855531487792143,0.003477466270438625,-0.003146391514995111,0.0074946309740392455,0.010045999407645037,0.014993537330715517
close,-0.025414065302372824,0.9999947815493709,0.9999974959240692,0.9999972305588686,1.0,-0.03286489298849684,-0.028333948317810106,0.018280884203303954,0.0010742218923357647,,,0.008206434304998544,0.004043692660131915,0.006270307155057337,0.010246032627661803,-0.004817194977515952,-0.000638752394049001,-0.003971465480117651,-0.0014914849234674758,-0.0008030572454060427,-0.0024010952460147787,0.0007616533536749928,-0.000606468043516346,-0.02131905280372862,0.002826845176435357,0.007621235913364516,0.005320475583664874,-0.0018509675348702059,0.01724502293856017,0.002826845176435357,0.0010641136172616717,0.008240868403543303,0.011518202705244607,0.019317418803124143,0.035753630589194105,0.03559284151924722,0.03596663467859495,0.03580109702178523,-0.011550703091028304,0.0067244914888368295,0.002084686552307556,0.0060468964061952185,0.008719003582872708,-0.004275739198665995,-0.004343080030430726,-0.004532813487672886,-0.001610590799325776,-0.0022319995820735887,-0.004743465633138526,-0.002424261489094298,-0.0023204759168785095,0.0005229262450920378,0.0034776040489568933,0.007841766458419512,0.0077508922717416644,-0.0015539619627015018,0.016719005002463528,0.0034776040489568933,-0.0032447248350797042,0.007481647338083401,0.00995200775811034,0.01484050388522619
volume,0.024524109755176406,-0.03283153508163757,-0.03267221501551411,-0.03305497521366882,-0.03286489298849684,1.0,0.05686268635629189,-0.06279675349673085,-0.0033823127959249806,,,-0.030516166257793197,-0.013043770409262275,-0.02317675634298701,-0.027007437686146697,0.009357370089173603,0.0013826394329899407,-0.0035090158770488215,-0.01165849535805397,-0.010574110017001835,-0.005583304745532138,-0.008641545985798575,-0.00700685755209786,0.003194761119447764,-0.012302443960205177,-0.021865285999499297,-0.014452411912346802,0.026805047696839314,-0.05620083957581973,-0.012302443960205177,0.0055374464760371755,-0.022033031606356404,-0.03080757695119481,-0.04188049963220132,-0.044687764533019474,-0.04388327861403249,-0.04579861106172276,-0.044962604482641555,0.07099140443886846,-0.015093631919602755,-0.00036412225974468223,-0.012968936112763793,-0.021312818775828878,0.02224758269335248,0.005427732371315314,-0.002388747125160038,-0.010434450170972822,-0.015448000757298326,-0.015715082557786208,-0.01823303009594218,-0.01774461968160712,-0.007881181427714995,-0.010384007164770281,-0.023820105208163564,-0.01822482254575595,0.0034660492401184734,-0.04192977846174101,-0.010384007164770281,-0.008352035354595074,-0.01713833451885134,-0.026068408482989303,-0.03965808715164083
year,0.8329986262261816,-0.028276630606481213,-0.028120066317909632,-0.028501564961958423,-0.028333948317810106,0.05686268635629189,1.0,-0.5343067669237991,-0.05746012595286424,,,-0.05112089152958228,-0.02201956800781295,-0.04964990942033695,-0.05598050845078796,0.012712400477136515,0.01917166005043848,0.039980610231501235,-0.003431918503494962,-0.018463727522294235,0.016056949583024505,0.013717884242235856,0.0030983327402604077,-0.01318434129042232,-0.03034525231573354,-0.044201320445347615,-0.04595617261347264,0.02777884786655683,-0.1131423750378637,-0.03034525231573354,0.022317408759197653,-0.05095675243324915,-0.06341665357299602,-0.09011440974387702,-0.13305612098306874,-0.12789263210525642,-0.14044511853381056,-0.1349835130804553,0.27106306598354285,-0.12171722349045691,-0.04872877707824063,-0.11545209899779924,-0.14617824376694244,0.01633543597109646,0.054127041513032485,0.06982531544172581,-0.007682636307739461,-0.05807740111243025,0.010699259570211532,0.004724935218478788,-0.016077922384915774,-0.06075707605714338,-0.08540097800620526,-0.13642364170246163,-0.13690114024521519,0.08182810695367412,-0.32874026079735735,-0.08540097800620526,0.011186686339421756,-0.13077666412937822,-0.1710713532585577,-0.26020936684974527
month,0.011389427115074863,0.018216348941357034,0.018106874901017773,0.01839000244936548,0.018280884203303954,-0.06279675349673085,-0.5343067669237991,1.0,-0.019452724656107496,,,0.004817741970494836,-0.020527039458148415,0.005548044406331422,0.012581492180443568,0.0085117006171946,0.03223722487595722,0.03653496760310913,0.03827734310835562,0.04604969539491942,0.029890415512335393,0.03446978206346734,0.03587410613397067,0.0018177057952232678,0.0031078736075005743,0.009295804273435375,0.011413513957782978,-0.03756336921496117,0.04856194755836823,0.0031078736075005743,0.006327839794888695,0.011548944835401807,0.017400518732550822,0.027437617609909155,0.4152348376150822,0.41433368902375856,0.418813809261022,0.41751322266421564,0.05324813341596824,0.039065019492254154,-0.01893078890226459,0.03633294981682116,0.06127929940536839,0.023550512103333223,0.055785085221618506,0.07059125313976096,0.060479567101135355,0.09615119421654669,0.059180065194473636,0.07032963456158797,0.07848657563526638,0.039098578273873995,0.011365278480036075,0.05245150582155999,0.04625377091708993,-0.07397547363142425,0.14943789139599054,0.011365278480036075,0.03541818835557243,0.05040085535592547,0.07541864582836441,0.13371644370934496
day,-0.022692837017763975,0.0012077574015505754,0.0011248626549077625,0.0011335373311784872,0.0010742218923357647,-0.0033823127959249806,-0.05746012595286424,-0.019452724656107496,1.0,,,-0.0027738578897911485,-0.021387949989783876,-0.006374111279042133,0.012987944982177292,0.007323120201100628,-0.026895713446781846,-0.01385996080198484,3.488606627770389e-05,0.0006916335171260852,-0.00111398692993562,0.011474171433808952,-0.0030108938510758016,0.017789557149349516,0.025518462300931573,0.025445173603800775,-0.0017309374096952765,0.006130365500811867,0.022946166740496314,0.025518462300931573,-0.001337037688752307,0.004109462252791991,0.016091119857372944,0.019212704476899566,-0.0065721894188159645,-0.00835306521820102,-0.008767546702656965,-0.010380825647297228,0.0291444486180028,-0.005655924133490167,-0.05841846190969096,-0.010230309190305792,0.03553876708676454,0.012899550726296193,-0.05071498103386079,-0.02286285507901191,-0.009448976862066917,-0.013188957135643047,-0.014664466321109366,0.004152928702094652,-0.02279574179133946,0.05023036365511178,0.056405096303447866,0.060456284734109474,0.006456036187910821,0.03248103684345169,0.04042577711549124,0.056405096303447866,0.0030778962195255853,0.01471084995967976,0.04417089152578844,0.03865263502896957
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ema_21,-0.057297321904287275,0.007794258276610119,0.007919080591547454,0.00810023129272782,0.008206434304998544,-0.030516166257793197,-0.05112089152958228,0.004817741970494836,-0.0027738578897911485,,,1.0,0.6553839998865119,0.9853719743318166,0.9141008027997172,-0.027644894425655275,-0.015186120207017303,-0.004795754991580308,-0.012653256697812334,-0.005639223440542536,-0.005314583089961841,-0.0029087528157881867,-0.018939410825471098,-0.0112719116521454,0.7628645064029053,0.7100097778358433,0.7814053259810128,0.7366296460150255,0.7524161299077745,0.7628645064029053,-0.039276365616822656,0.9545959209851423,0.8448055327898579,0.598352796924747,0.03534075641648273,0.03622226614199924,0.03869009604578861,0.03912981784202976,-0.08826694327536197,0.42592433463979784,0.31138227421601217,0.41884023493396516,0.393102438332763,-0.05548604889433937,-0.022580711510594823,-0.009561254679021717,-0.022348973566727628,-0.0128755988359085,-0.005896545513799187,-0.010667703884784434,-0.014393000963646756,-0.035375190161721345,0.34321315259927176,0.34086174116038087,0.3791011884434809,0.3703486057124907,0.35490393168570394,0.34321315259927176,-0.03883823164055482,0.4135009013949873,0.363458162529164,0.25249792134763854
ma10,-0.04089517858667338,0.0032638543400991715,0.0036369356836757263,0.0037131936011870056,0.004043692660131915,-0.013043770409262275,-0.02201956800781295,-0.020527039458148415,-0.021387949989783876,,,0.6553839998865119,1.0,0.6516950945846541,0.4065724264714011,-0.010338291853398724,0.013157677960427598,0.007881538832209283,0.013379777335610896,0.0018054102785192451,0.0028392498105046363,-0.001830055732012418,-0.02111755137348657,-0.014330286069263985,0.4853362861743402,0.2622058292154432,0.3273168466039323,0.2806775714936948,0.2890605057050638,0.4853362861743402,-0.013617925053958724,0.47219193742117666,0.35085382649042035,0.21978601916138665,-0.004068504398174135,-0.00035204691636935953,-0.0002517034800549684,0.0026522347288538664,-0.017063054976368862,0.35461946213318085,0.4722435022223768,0.35504106035934513,0.2202484323333882,-0.013837003949964212,0.030214217764175252,0.014678174248610874,0.025692527397153782,0.0231217948461541,0.014251420148545258,0.0027232505036185635,-0.013262321905774786,-0.03969433361724324,0.28178020183563873,0.15839428894062127,0.23260788604316004,0.20133154103233014,0.17349343177495835,0.28178020183563873,-0.01394983564473341,0.2646871178927735,0.1857651383911351,0.10262543312122484
ma20,-0.05524308608972316,0.005896137604988587,0.0060093812984487556,0.006171551403634333,0.006270307155057337,-0.02317675634298701,-0.04964990942033695,0.005548044406331422,-0.006374111279042133,,,0.9853719743318166,0.6516950945846541,1.0,0.8729806726904823,-0.028454536875105782,-0.015860019341291685,-0.0047099326676843505,-0.012607007698683285,-0.0062688854780726675,-0.006347993639978369,-0.004238618679109205,-0.0182545959944958,-0.009461584133668625,0.7889626628654429,0.662515285977629,0.7936594203285233,0.7135519704376441,0.7226890114273561,0.7889626628654429,-0.03522831765293742,0.9484246075163838,0.7927411804050947,0.5453218214279003,0.030185318359079533,0.030954590636856648,0.033228665424792636,0.033667634685666074,-0.08192309566779722,0.41697778061444885,0.30987102620761214,0.4236938750213369,0.3666441146945757,-0.05508505574832682,-0.02462198563039258,-0.009192243172719735,-0.023735130350492042,-0.01593281798604937,-0.010293416562040511,-0.014055184012651016,-0.015265672864198547,-0.035895851916967036,0.3540710433968239,0.30564401670979946,0.38476759510257086,0.35060708094170234,0.3299049575414311,0.3540710433968239,-0.038070002718060526,0.4019167890291787,0.33278364979202596,0.22382979381867057
ma50,-0.05708965937470393,0.010066534587945715,0.010058186551190052,0.010259295488756974,0.010246032627661803,-0.027007437686146697,-0.05598050845078796,0.012581492180443568,0.012987944982177292,,,0.9141008027997172,0.4065724264714011,0.8729806726904823,1.0,-0.03209737883143157,-0.026742039045791782,-0.010919759126519046,-0.024251888730221053,-0.010368428560004417,-0.006704493718959867,-0.002194738423480795,-0.014790101267799262,-0.00894300918361371,0.707166812784682,0.8804873192230888,0.8402715148449273,0.8588012355213296,0.8789265240971944,0.707166812784682,-0.04048040266059429,0.9518052317921073,0.9759987004114573,0.7420729081820804,0.05286555838581439,0.052201372744880306,0.05550013749988869,0.054599949149822406,-0.10896076411345865,0.3876922699821947,0.18834295240724808,0.3626098931836115,0.43120581051027657,-0.06393903547783061,-0.037953574763165174,-0.017514796990836738,-0.03573011089920064,-0.022138541482309367,-0.006475750932794942,-0.0075848263723951054,-0.0061626863508089215,-0.01758966309524591,0.30078234409936333,0.40826634588183325,0.3668712141948016,0.3992586808139232,0.4011068969932149,0.30078234409936333,-0.03172997252121692,0.4110274780731841,0.41981797505111834,0.31422134928935513
close1p_lead,0.020770588860914832,-0.004864822806025495,-0.004810126146446954,-0.0048472156798831136,-0.004817194977515952,0.009357370089173603,0.012712400477136515,0.0085117006171946,0.007323120201100628,,,-0.027644894425655275,-0.010338291853398724,-0.028454536875105782,-0.03209737883143157,1.0,0.7313744487602178,0.6029002093307583,0.508521534719264,0.47344112984219483,0.4348126861422238,0.4132876415626688,0.38212245178504334,0.061940305783533406,-0.028162229437751058,-0.02752698015902368,-0.02661746598083502,-0.0210913725850598,-0.023267547618857205,-0.028162229437751058,0.2880429951441867,-0.030459936209028707,-0.03865923055794756,-0.04312213177996334,-0.0367352791831438,-0.03614106236906058,-0.03645028195159466,-0.03631516487648609,0.023167068872451065,-0.05308028376710195,-0.02439121216217805,-0.05080412017881598,-0.05849870119367182,0.4487576481167493,0.3264916216013518,0.27056275823754716,0.2203557181951893,0.20560738050163857,0.19871419852540295,0.18605813690161502,0.16430460375704503,0.056826144774841755,-0.053623711913321194,-0.05254223867623083,-0.07069768004006588,-0.03705531723749921,-0.06945992483915514,-0.053623711913321194,0.11656079531553899,-0.06148871353010225,-0.06368080975113607,-0.06749590280836591
close2p_lead,0.041590493793756456,-0.0007053627285654015,-0.0006514792652378641,-0.0006772537490914585,-0.000638752394049001,0.0013826394329899407,0.01917166005043848,0.03223722487595722,-0.026895713446781846,,,-0.015186120207017303,0.013157677960427598,-0.015860019341291685,-0.026742039045791782,0.7313744487602178,1.0,0.8418801567454547,0.7127934609677309,0.6491938266857437,0.602315294964001,0.564038094773563,0.5225255279029066,0.07951243782120647,-0.036870591594058075,-0.024035364379749003,-0.017952018512370705,-0.02343125785121765,-0.015193572388871814,-0.036870591594058075,0.37676193865186025,-0.0194682219337116,-0.03868619079808905,-0.03302370087185184,-0.020701787257334556,-0.020147616502017757,-0.020029474886483524,-0.019744653275415736,0.025501716110757994,-0.028664274839033364,0.0022307836415762857,-0.027377778384183156,-0.04087627114174927,0.3588426383896917,0.4730035111407171,0.41667556410841766,0.3344329234878003,0.3027162875914813,0.297559924067467,0.2727586625825015,0.2480556156955919,0.09900793212280683,-0.06301160232171062,-0.03738357239088594,-0.043636789860738476,-0.025716477635286717,-0.04410873432584526,-0.06301160232171062,0.15800650739113173,-0.03492374039225194,-0.055788007454573144,-0.041223913366627604
close3p_lead,0.06992741444855527,-0.004023801284776437,-0.003989545986518079,-0.004005468759758688,-0.003971465480117651,-0.0035090158770488215,0.039980610231501235,0.03653496760310913,-0.01385996080198484,,,-0.004795754991580308,0.007881538832209283,-0.0047099326676843505,-0.010919759126519046,0.6029002093307583,0.8418801567454547,1.0,0.8561840182904448,0.7738186739635822,0.7240172177052724,0.6888399986246774,0.6437192259999739,0.09748030992662257,-0.031072545468091357,-0.009642023216188917,-0.0052455217324723115,-0.017048963700196474,0.0024417111353020717,-0.031072545468091357,0.4721190476469337,-0.006979737740457632,-0.01959934103570485,-0.005754090070449836,-0.010199204392654851,-0.009759647784565971,-0.009735542016165865,-0.009382310904625905,0.02183171790205955,-0.013059815374162941,-0.007609146137318151,-0.010782326103226934,-0.016162716501945885,0.31380765207309536,0.4545675560345569,0.5267542301406941,0.4309618579451566,0.3814619658971638,0.3777521605203506,0.3564791225078272,0.3270451380463145,0.13462996562645324,-0.053029532018478265,-0.01266653013789456,-0.014311440469462082,-0.010827372728279182,-0.011550370596619775,-0.053029532018478265,0.21596106602807746,-0.012643697903629238,-0.028720534836419776,-0.0085602130433002
close4p_lead,0.020367513941812534,-0.0015410638034835742,-0.0015097122021624175,-0.0015284043057959135,-0.0014914849234674758,-0.01165849535805397,-0.003431918503494962,0.03827734310835562,3.488606627770389e-05,,,-0.012653256697812334,0.013379777335610896,-0.012607007698683285,-0.024251888730221053,0.508521534719264,0.7127934609677309,0.8561840182904448,1.0,0.9024164233370869,0.827485430831862,0.7746690003556645,0.7204507399412332,0.12085007334435845,-0.028879665034130236,-0.028680201480768743,-0.01328070283113037,-0.036902200681852,-0.0066499500494153685,-0.028879665034130236,0.5417930266498234,-0.017509216035056608,-0.03135374396622334,-0.012965313163115489,-0.00887595134857895,-0.008323253483052606,-0.00862500193432554,-0.007934667956534565,0.0097027369207469,-0.01944770385734479,0.008634620836712131,-0.020780844547451653,-0.02545999165821342,0.26929736292665285,0.40044336773773603,0.46282507614066054,0.5256295308984685,0.465467625029697,0.43138835811356385,0.39755993131536066,0.3581529822072528,0.1822489037885148,-0.0425752507469768,-0.023342927330658503,-0.02205469069425221,-0.029296332725148436,-0.019606578424658714,-0.0425752507469768,0.24689506227769312,-0.023683784959505363,-0.030528395682304577,-0.007543260525327733
close5p_lead,0.0072246401121013794,-0.000836067566617291,-0.0008231221819284358,-0.0008254971953958107,-0.0008030572454060427,-0.010574110017001835,-0.018463727522294235,0.04604969539491942,0.0006916335171260852,,,-0.005639223440542536,0.0018054102785192451,-0.0062688854780726675,-0.010368428560004417,0.47344112984219483,0.6491938266857437,0.7738186739635822,0.9024164233370869,1.0,0.9083974497904856,0.8452649859559269,0.7910074441078266,0.13392129588274362,-0.02414600572485812,-0.01194388649997702,-0.007598255138211448,-0.01907178687010643,0.003826751513228113,-0.02414600572485812,0.5986517493213447,-0.0048780159577241685,-0.018610466166570975,-0.003493398565321998,-0.03820417496702626,-0.03817755681848859,-0.03774675567066867,-0.037367540316824675,-0.006965480415468005,-0.018206771759525304,0.0012441814416769416,-0.01963302112074427,-0.02066139340975157,0.25094048259678947,0.3593750149104016,0.4096534287595891,0.46862735910005915,0.5175842753092575,0.46595490394847455,0.43051481931178853,0.3983035893480179,0.20568811172557747,-0.051379549242389036,-0.01001700257106186,-0.03285510823037094,-0.023169445318358687,-0.012253528528456395,-0.051379549242389036,0.2717719482877525,-0.01991361979477598,-0.02866591201806469,-0.0033526781946717206
close6p_lead,0.03790468910840992,-0.002414624640279353,-0.0024063874405630364,-0.0024102076353969878,-0.0024010952460147787,-0.005583304745532138,0.016056949583024505,0.029890415512335393,-0.00111398692993562,,,-0.005314583089961841,0.0028392498105046363,-0.006347993639978369,-0.006704493718959867,0.4348126861422238,0.602315294964001,0.7240172177052724,0.827485430831862,0.9083974497904856,1.0,0.9265846411317213,0.8679945988265839,0.14384999124520786,-0.01886751790296712,-0.006047535224301689,-0.001563140421032217,-0.0067973065554439585,0.0019845025437875757,-0.01886751790296712,0.667067757129,-0.0015856551277834722,-0.016436989388671865,-0.022027526320223548,-0.046970799207144226,-0.047195196678125564,-0.046975029695443475,-0.04654261368961204,0.014938461472183015,-0.016418602056077775,-0.01157770866253065,-0.01848000647478971,-0.009249210320687654,0.23475318956388452,0.34959508269690137,0.3993732497653049,0.43332232379952806,0.46992043942363576,0.538546200154389,0.49266894623500135,0.459496329287567,0.23090537153317267,-0.04398893274789533,0.0014404616203026286,-0.014038157060296005,0.003387141148763905,-0.002432009149225263,-0.04398893274789533,0.32828577124008734,-0.00768610795445107,-0.023289061325518303,-0.038296708208359224
